Time, x, y, z, view_x, view_y, view_z
-1, -0.348, 1.900, 2.692, 0, 0, 0
-2, 2.652, 1.900, 3.692, 0, 0, 0
-3, -2.348, 1.900, 2.692, 0, 0, 0
-4, 2.652, 1.900, 2.692, 0, 0, 0
-5, 4.652, 1.900, 2.692, 0, 0, 0
0.000, -2.718, 1.087, -1.419, 0.962, 0.000, -0.274
0.042, -2.718, 1.087, -1.419, 0.962, 0.000, -0.274
0.083, -2.718, 1.087, -1.419, 0.962, -0.000, -0.274
0.125, -2.717, 1.087, -1.419, 0.962, 0.000, -0.274
0.167, -2.717, 1.087, -1.419, 0.962, 0.000, -0.274
0.208, -2.717, 1.087, -1.419, 0.962, 0.000, -0.274
0.250, -2.716, 1.087, -1.419, 0.962, 0.000, -0.273
0.292, -2.716, 1.087, -1.419, 0.962, -0.000, -0.273
0.333, -2.715, 1.087, -1.419, 0.962, 0.000, -0.273
0.375, -2.715, 1.087, -1.419, 0.962, -0.000, -0.273
0.417, -2.714, 1.087, -1.420, 0.962, 0.000, -0.273
0.458, -2.713, 1.087, -1.420, 0.962, -0.000, -0.273
0.500, -2.712, 1.087, -1.420, 0.962, 0.000, -0.273
0.542, -2.711, 1.087, -1.420, 0.962, 0.000, -0.273
0.583, -2.710, 1.087, -1.421, 0.962, -0.000, -0.273
0.625, -2.709, 1.087, -1.421, 0.962, 0.000, -0.273
0.667, -2.708, 1.087, -1.421, 0.962, 0.000, -0.273
0.708, -2.707, 1.087, -1.421, 0.962, 0.000, -0.273
0.750, -2.706, 1.087, -1.422, 0.962, 0.000, -0.272
0.792, -2.704, 1.087, -1.422, 0.962, 0.000, -0.272
0.833, -2.703, 1.087, -1.423, 0.962, -0.000, -0.272
0.875, -2.701, 1.087, -1.423, 0.962, 0.000, -0.272
0.917, -2.700, 1.087, -1.423, 0.962, -0.000, -0.272
0.958, -2.698, 1.087, -1.424, 0.962, 0.000, -0.272
1.000, -2.696, 1.087, -1.424, 0.962, -0.000, -0.271
1.042, -2.694, 1.087, -1.425, 0.962, -0.000, -0.271
1.083, -2.693, 1.087, -1.425, 0.963, 0.000, -0.271
1.125, -2.691, 1.087, -1.426, 0.963, 0.000, -0.271
1.167, -2.689, 1.087, -1.426, 0.963, -0.000, -0.271
