Time, x, y, z, view_x, view_y, view_z
-1, -2.056, 1.900, -1.784, 0, 0, 0
-2, 0.944, 1.900, 0.216, 0, 0, 0
-3, -1.056, 1.900, -2.784, 0, 0, 0
-4, 1.944, 0.900, 0.216, 0, 0, 0
-5, -0.056, 1.900, -0.784, 0, 0, 0
0.000, 3.378, 1.592, 1.964, -0.535, -0.069, -0.842
0.042, 3.377, 1.592, 1.964, -0.535, -0.069, -0.842
0.083, 3.377, 1.592, 1.964, -0.535, -0.069, -0.842
0.125, 3.376, 1.592, 1.964, -0.535, -0.069, -0.842
0.167, 3.375, 1.592, 1.964, -0.536, -0.069, -0.842
0.208, 3.374, 1.592, 1.964, -0.536, -0.069, -0.842
0.250, 3.372, 1.592, 1.964, -0.536, -0.069, -0.842
0.292, 3.370, 1.592, 1.964, -0.536, -0.069, -0.842
0.333, 3.368, 1.592, 1.964, -0.536, -0.069, -0.842
0.375, 3.366, 1.592, 1.964, -0.536, -0.069, -0.841
0.417, 3.363, 1.592, 1.964, -0.536, -0.069, -0.841
0.458, 3.360, 1.592, 1.964, -0.536, -0.069, -0.841
0.500, 3.357, 1.592, 1.964, -0.536, -0.069, -0.841
0.542, 3.353, 1.592, 1.964, -0.536, -0.069, -0.841
0.583, 3.350, 1.592, 1.964, -0.536, -0.069, -0.841
0.625, 3.345, 1.592, 1.964, -0.537, -0.069, -0.841
0.667, 3.341, 1.592, 1.964, -0.537, -0.069, -0.841
0.708, 3.337, 1.592, 1.964, -0.537, -0.069, -0.841
0.750, 3.332, 1.592, 1.964, -0.537, -0.069, -0.841
0.792, 3.327, 1.592, 1.964, -0.537, -0.069, -0.841
0.833, 3.321, 1.592, 1.963, -0.537, -0.069, -0.840
0.875, 3.316, 1.592, 1.963, -0.538, -0.069, -0.840
0.917, 3.310, 1.592, 1.963, -0.538, -0.069, -0.840
0.958, 3.304, 1.592, 1.963, -0.538, -0.069, -0.840
1.000, 3.297, 1.592, 1.963, -0.538, -0.069, -0.840
1.042, 3.291, 1.592, 1.963, -0.539, -0.069, -0.840
1.083, 3.284, 1.592, 1.963, -0.539, -0.069, -0.840
1.125, 3.277, 1.592, 1.963, -0.539, -0.069, -0.839
1.167, 3.269, 1.592, 1.963, -0.539, -0.069, -0.839
1.208, 3.262, 1.592, 1.963, -0.540, -0.069, -0.839
1.250, 3.254, 1.592, 1.963, -0.540, -0.069, -0.839
1.292, 3.246, 1.592, 1.963, -0.540, -0.069, -0.839
1.333, 3.238, 1.592, 1.963, -0.540, -0.069, -0.839
1.375, 3.229, 1.592, 1.963, -0.541, -0.069, -0.838
1.417, 3.220, 1.592, 1.963, -0.541, -0.069, -0.838
1.458, 3.211, 1.592, 1.963, -0.541, -0.069, -0.838
1.500, 3.202, 1.592, 1.962, -0.541, -0.069, -0.838
1.542, 3.193, 1.592, 1.962, -0.542, -0.069, -0.838
1.583, 3.183, 1.592, 1.962, -0.542, -0.069, -0.838
1.625, 3.174, 1.592, 1.962, -0.542, -0.069, -0.837
1.667, 3.164, 1.592, 1.962, -0.542, -0.069, -0.837
1.708, 3.153, 1.592, 1.962, -0.543, -0.069, -0.837
1.750, 3.143, 1.592, 1.962, -0.543, -0.069, -0.837
1.792, 3.132, 1.592, 1.962, -0.543, -0.069, -0.837
1.833, 3.121, 1.592, 1.962, -0.543, -0.069, -0.837
1.875, 3.110, 1.592, 1.962, -0.544, -0.069, -0.836
1.917, 3.099, 1.592, 1.962, -0.544, -0.069, -0.836
1.958, 3.088, 1.592, 1.962, -0.544, -0.069, -0.836
2.000, 3.076, 1.592, 1.962, -0.544, -0.069, -0.836
2.042, 3.064, 1.592, 1.962, -0.544, -0.069, -0.836
2.083, 3.052, 1.592, 1.962, -0.544, -0.069, -0.836
2.125, 3.040, 1.592, 1.962, -0.544, -0.069, -0.836
2.167, 3.028, 1.592, 1.962, -0.544, -0.069, -0.836
2.208, 3.015, 1.592, 1.962, -0.544, -0.069, -0.836
2.250, 3.003, 1.592, 1.962, -0.544, -0.069, -0.836
2.292, 2.990, 1.592, 1.962, -0.544, -0.069, -0.836
2.333, 2.977, 1.592, 1.962, -0.544, -0.069, -0.836
2.375, 2.964, 1.592, 1.962, -0.544, -0.069, -0.836
2.417, 2.950, 1.592, 1.962, -0.543, -0.069, -0.837
2.458, 2.937, 1.592, 1.962, -0.543, -0.069, -0.837
2.500, 2.923, 1.592, 1.962, -0.543, -0.069, -0.837
2.542, 2.909, 1.592, 1.962, -0.542, -0.069, -0.837
2.583, 2.895, 1.592, 1.962, -0.542, -0.069, -0.838
2.625, 2.881, 1.592, 1.962, -0.541, -0.069, -0.838
2.667, 2.867, 1.592, 1.962, -0.540, -0.069, -0.839
2.708, 2.852, 1.592, 1.962, -0.539, -0.069, -0.839
2.750, 2.838, 1.592, 1.962, -0.538, -0.069, -0.840
2.792, 2.823, 1.592, 1.962, -0.537, -0.069, -0.841
2.833, 2.808, 1.592, 1.962, -0.536, -0.069, -0.841
2.875, 2.793, 1.592, 1.962, -0.535, -0.069, -0.842
2.917, 2.778, 1.592, 1.962, -0.534, -0.069, -0.843
2.958, 2.763, 1.592, 1.962, -0.532, -0.069, -0.844
3.000, 2.747, 1.592, 1.962, -0.530, -0.069, -0.845
3.042, 2.732, 1.592, 1.961, -0.528, -0.069, -0.846
3.083, 2.716, 1.592, 1.961, -0.527, -0.069, -0.847
3.125, 2.700, 1.592, 1.961, -0.525, -0.069, -0.849
3.167, 2.684, 1.592, 1.961, -0.523, -0.069, -0.850
3.208, 2.669, 1.592, 1.961, -0.520, -0.069, -0.852
3.250, 2.653, 1.592, 1.960, -0.517, -0.069, -0.853
3.292, 2.636, 1.592, 1.960, -0.514, -0.069, -0.855
3.333, 2.620, 1.592, 1.960, -0.511, -0.069, -0.857
3.375, 2.604, 1.592, 1.959, -0.508, -0.069, -0.859
3.417, 2.587, 1.592, 1.959, -0.504, -0.069, -0.861
3.458, 2.571, 1.592, 1.958, -0.500, -0.069, -0.863
3.500, 2.554, 1.592, 1.957, -0.496, -0.069, -0.865
3.542, 2.537, 1.592, 1.957, -0.492, -0.069, -0.868
3.583, 2.520, 1.592, 1.956, -0.488, -0.069, -0.870
3.625, 2.504, 1.592, 1.955, -0.484, -0.069, -0.872
3.667, 2.487, 1.592, 1.954, -0.479, -0.069, -0.875
3.708, 2.470, 1.592, 1.953, -0.474, -0.069, -0.878
3.750, 2.452, 1.592, 1.952, -0.468, -0.069, -0.881
3.792, 2.435, 1.592, 1.951, -0.463, -0.069, -0.884
3.833, 2.418, 1.592, 1.949, -0.458, -0.069, -0.887
3.875, 2.401, 1.592, 1.948, -0.451, -0.069, -0.890
3.917, 2.383, 1.592, 1.946, -0.445, -0.069, -0.893
3.958, 2.366, 1.592, 1.945, -0.439, -0.069, -0.896
4.000, 2.348, 1.592, 1.943, -0.433, -0.069, -0.899
4.042, 2.331, 1.592, 1.941, -0.426, -0.069, -0.902
4.083, 2.313, 1.592, 1.939, -0.419, -0.069, -0.905
4.125, 2.295, 1.592, 1.937, -0.412, -0.069, -0.909
4.167, 2.278, 1.592, 1.935, -0.405, -0.069, -0.912
4.208, 2.260, 1.592, 1.932, -0.397, -0.068, -0.915
4.250, 2.242, 1.592, 1.929, -0.389, -0.068, -0.918
4.292, 2.224, 1.592, 1.926, -0.382, -0.068, -0.922
4.333, 2.206, 1.592, 1.924, -0.374, -0.068, -0.925
4.375, 2.189, 1.592, 1.921, -0.366, -0.068, -0.928
4.417, 2.171, 1.592, 1.917, -0.357, -0.068, -0.932
4.458, 2.153, 1.592, 1.914, -0.348, -0.068, -0.935
4.500, 2.135, 1.592, 1.910, -0.340, -0.068, -0.938
4.542, 2.117, 1.592, 1.907, -0.331, -0.068, -0.941
4.583, 2.099, 1.592, 1.903, -0.322, -0.068, -0.944
4.625, 2.081, 1.592, 1.898, -0.312, -0.068, -0.948
4.667, 2.063, 1.592, 1.894, -0.303, -0.068, -0.951
4.708, 2.045, 1.592, 1.890, -0.293, -0.068, -0.954
4.750, 2.027, 1.592, 1.885, -0.283, -0.068, -0.957
4.792, 2.009, 1.592, 1.880, -0.273, -0.068, -0.960
4.833, 1.991, 1.592, 1.875, -0.262, -0.068, -0.963
4.875, 1.973, 1.592, 1.870, -0.252, -0.068, -0.965
4.917, 1.956, 1.592, 1.865, -0.241, -0.068, -0.968
4.958, 1.938, 1.592, 1.859, -0.230, -0.068, -0.971
5.000, 1.920, 1.592, 1.853, -0.218, -0.068, -0.974
5.042, 1.902, 1.593, 1.847, -0.207, -0.068, -0.976
5.083, 1.885, 1.593, 1.841, -0.195, -0.068, -0.979
5.125, 1.867, 1.593, 1.835, -0.182, -0.068, -0.981
5.167, 1.850, 1.593, 1.828, -0.170, -0.067, -0.983
5.208, 1.832, 1.593, 1.821, -0.158, -0.067, -0.985
5.250, 1.815, 1.593, 1.814, -0.145, -0.067, -0.987
5.292, 1.798, 1.593, 1.807, -0.132, -0.067, -0.989
5.333, 1.781, 1.593, 1.799, -0.118, -0.067, -0.991
5.375, 1.763, 1.593, 1.792, -0.105, -0.067, -0.992
5.417, 1.747, 1.593, 1.784, -0.091, -0.067, -0.994
5.458, 1.730, 1.593, 1.775, -0.077, -0.067, -0.995
5.500, 1.713, 1.593, 1.767, -0.063, -0.067, -0.996
5.542, 1.696, 1.593, 1.759, -0.049, -0.067, -0.997
5.583, 1.680, 1.594, 1.750, -0.034, -0.067, -0.997
5.625, 1.664, 1.594, 1.741, -0.020, -0.067, -0.998
5.667, 1.648, 1.594, 1.731, -0.005, -0.067, -0.998
5.708, 1.631, 1.594, 1.722, 0.010, -0.067, -0.998
5.750, 1.616, 1.594, 1.712, 0.025, -0.067, -0.997
5.792, 1.600, 1.594, 1.702, 0.040, -0.067, -0.997
5.833, 1.584, 1.594, 1.692, 0.055, -0.067, -0.996
5.875, 1.569, 1.594, 1.682, 0.071, -0.067, -0.995
5.917, 1.554, 1.594, 1.671, 0.086, -0.067, -0.994
5.958, 1.539, 1.595, 1.660, 0.101, -0.067, -0.993
6.000, 1.524, 1.595, 1.649, 0.117, -0.067, -0.991
6.042, 1.509, 1.595, 1.638, 0.132, -0.067, -0.989
6.083, 1.495, 1.595, 1.626, 0.147, -0.067, -0.987
6.125, 1.481, 1.595, 1.614, 0.163, -0.067, -0.984
6.167, 1.466, 1.595, 1.602, 0.178, -0.067, -0.982
6.208, 1.452, 1.595, 1.591, 0.193, -0.067, -0.979
6.250, 1.439, 1.596, 1.578, 0.208, -0.067, -0.976
6.292, 1.425, 1.596, 1.565, 0.223, -0.067, -0.973
6.333, 1.412, 1.596, 1.553, 0.237, -0.067, -0.969
6.375, 1.399, 1.596, 1.540, 0.252, -0.067, -0.965
6.417, 1.386, 1.596, 1.527, 0.266, -0.068, -0.962
6.458, 1.374, 1.596, 1.513, 0.280, -0.068, -0.958
6.500, 1.361, 1.596, 1.500, 0.294, -0.068, -0.953
6.542, 1.349, 1.597, 1.487, 0.308, -0.068, -0.949
6.583, 1.337, 1.597, 1.472, 0.321, -0.068, -0.945
6.625, 1.325, 1.597, 1.458, 0.334, -0.068, -0.940
6.667, 1.314, 1.597, 1.444, 0.347, -0.068, -0.935
6.708, 1.302, 1.597, 1.430, 0.360, -0.068, -0.930
